Series_Title,Released_Year,Actor_Id
Judgment at Nuremberg,1961,606
Judgment at Nuremberg,1961,269
Some Like It Hot,1959,607
Some Like It Hot,1959,608
Some Like It Hot,1959,399
Some Like It Hot,1959,609
Smultronstället,1957,610
Smultronstället,1957,611
Smultronstället,1957,612
Smultronstället,1957,613
Det sjunde inseglet,1957,614
Det sjunde inseglet,1957,613
Det sjunde inseglet,1957,615
Det sjunde inseglet,1957,616
Du rififi chez les hommes,1955,617
Du rififi chez les hommes,1955,618
Du rififi chez les hommes,1955,619
Du rififi chez les hommes,1955,620
Dial M for Murder,1954,621
Dial M for Murder,1954,276
Dial M for Murder,1954,622
Dial M for Murder,1954,623
Tôkyô monogatari,1953,624
Tôkyô monogatari,1953,625
Tôkyô monogatari,1953,626
Tôkyô monogatari,1953,627
Rashômon,1950,107
Rashômon,1950,628
Rashômon,1950,629
Rashômon,1950,108
All About Eve,1950,630
All About Eve,1950,631
All About Eve,1950,632
All About Eve,1950,633
The Treasure of the Sierra Madre,1948,172
The Treasure of the Sierra Madre,1948,634
The Treasure of the Sierra Madre,1948,635
The Treasure of the Sierra Madre,1948,636
To Be or Not to Be,1942,637
To Be or Not to Be,1942,638
To Be or Not to Be,1942,639
To Be or Not to Be,1942,640
The Gold Rush,1925,176
The Gold Rush,1925,641
The Gold Rush,1925,642
The Gold Rush,1925,178
Sherlock Jr.,1924,643
Sherlock Jr.,1924,644
Sherlock Jr.,1924,645
Sherlock Jr.,1924,646
Portrait de la jeune fille en feu,2019,647
Portrait de la jeune fille en feu,2019,648
Portrait de la jeune fille en feu,2019,649
Portrait de la jeune fille en feu,2019,650
Pink,2016,651
Pink,2016,259
Pink,2016,652
Pink,2016,653
Koe no katachi,2016,84
Koe no katachi,2016,654
Koe no katachi,2016,197
Koe no katachi,2016,655
Contratiempo,2016,656
Contratiempo,2016,657
Contratiempo,2016,658
Contratiempo,2016,659
Ah-ga-ssi,2016,660
Ah-ga-ssi,2016,661
Ah-ga-ssi,2016,662
Ah-ga-ssi,2016,663
Mommy,2014,664
Mommy,2014,665
Mommy,2014,666
Mommy,2014,667
Haider,2014,668
Haider,2014,294
Haider,2014,439
Haider,2014,669
Logan,2017,126
Logan,2017,670
Logan,2017,671
Logan,2017,672
Room,2015,673
Room,2015,674
Room,2015,675
Room,2015,676
Relatos salvajes,2014,677
Relatos salvajes,2014,678
Relatos salvajes,2014,679
Relatos salvajes,2014,680
Soul,2020,681
Soul,2020,215
Soul,2020,682
Soul,2020,683
Kis Uykusu,2014,684
Kis Uykusu,2014,685
Kis Uykusu,2014,686
Kis Uykusu,2014,687
PK,2014,198
PK,2014,688
PK,2014,689
PK,2014,690
OMG: Oh My God!,2012,72
OMG: Oh My God!,2012,541
OMG: Oh My God!,2012,691
OMG: Oh My God!,2012,692
The Grand Budapest Hotel,2014,27
The Grand Budapest Hotel,2014,369
The Grand Budapest Hotel,2014,693
The Grand Budapest Hotel,2014,129
Gone Girl,2014,342
Gone Girl,2014,694
Gone Girl,2014,695
Gone Girl,2014,696
Ôkami kodomo no Ame to Yuki,2012,697
Ôkami kodomo no Ame to Yuki,2012,698
Ôkami kodomo no Ame to Yuki,2012,699
Ôkami kodomo no Ame to Yuki,2012,700
Hacksaw Ridge,2016,701
Hacksaw Ridge,2016,702
Hacksaw Ridge,2016,703
Hacksaw Ridge,2016,704
Inside Out,2015,705
Inside Out,2015,706
Inside Out,2015,707
Inside Out,2015,708
Barfi!,2012,709
Barfi!,2012,710
Barfi!,2012,711
Barfi!,2012,712
12 Years a Slave,2013,713
12 Years a Slave,2013,714
12 Years a Slave,2013,715
12 Years a Slave,2013,34
Rush,2013,716
Rush,2013,210
Rush,2013,717
Rush,2013,532
Ford v Ferrari,2019,86
Ford v Ferrari,2019,8
Ford v Ferrari,2019,718
Ford v Ferrari,2019,719
Spotlight,2015,209
Spotlight,2015,720
Spotlight,2015,721
Spotlight,2015,722
Song of the Sea,2014,723
Song of the Sea,2014,724
Song of the Sea,2014,725
Song of the Sea,2014,726
Kahaani,2012,727
Kahaani,2012,728
Kahaani,2012,729
Kahaani,2012,483
Zindagi Na Milegi Dobara,2011,730
Zindagi Na Milegi Dobara,2011,477
Zindagi Na Milegi Dobara,2011,731
Zindagi Na Milegi Dobara,2011,732
Prisoners,2013,126
Prisoners,2013,733
Prisoners,2013,734
Prisoners,2013,735
Mad Max: Fury Road,2015,218
Mad Max: Fury Road,2015,736
Mad Max: Fury Road,2015,737
Mad Max: Fury Road,2015,738
A Wednesday,2008,739
A Wednesday,2008,740
A Wednesday,2008,741
A Wednesday,2008,742
Gran Torino,2008,43
Gran Torino,2008,743
Gran Torino,2008,744
Gran Torino,2008,745
Harry Potter and the Deathly Hallows: Part 2,2011,746
Harry Potter and the Deathly Hallows: Part 2,2011,747
Harry Potter and the Deathly Hallows: Part 2,2011,748
Harry Potter and the Deathly Hallows: Part 2,2011,749
Okuribito,2008,750
Okuribito,2008,751
Okuribito,2008,752
Okuribito,2008,753
Hachi: A Dog's Tale,2009,754
Hachi: A Dog's Tale,2009,755
Hachi: A Dog's Tale,2009,756
Hachi: A Dog's Tale,2009,757
Mary and Max,2009,758
Mary and Max,2009,759
Mary and Max,2009,760
Mary and Max,2009,761
How to Train Your Dragon,2010,762
How to Train Your Dragon,2010,763
How to Train Your Dragon,2010,764
How to Train Your Dragon,2010,765
Into the Wild,2007,766
Into the Wild,2007,767
Into the Wild,2007,768
Into the Wild,2007,769
No Country for Old Men,2007,770
No Country for Old Men,2007,771
No Country for Old Men,2007,772
No Country for Old Men,2007,773
Lage Raho Munna Bhai,2006,689
Lage Raho Munna Bhai,2006,774
Lage Raho Munna Bhai,2006,727
Lage Raho Munna Bhai,2006,690
Million Dollar Baby,2004,775
Million Dollar Baby,2004,43
Million Dollar Baby,2004,1
Million Dollar Baby,2004,763
Hotel Rwanda,2004,776
Hotel Rwanda,2004,777
Hotel Rwanda,2004,115
Hotel Rwanda,2004,778
Taegukgi hwinalrimyeo,2004,779
Taegukgi hwinalrimyeo,2004,780
Taegukgi hwinalrimyeo,2004,781
Taegukgi hwinalrimyeo,2004,782
Before Sunset,2004,783
Before Sunset,2004,784
Before Sunset,2004,785
Before Sunset,2004,786
Munna Bhai M.B.B.S.,2003,689
Munna Bhai M.B.B.S.,2003,774
Munna Bhai M.B.B.S.,2003,787
Munna Bhai M.B.B.S.,2003,788
Salinui chueok,2003,66
Salinui chueok,2003,789
Salinui chueok,2003,790
Salinui chueok,2003,791
Dil Chahta Hai,2001,198
Dil Chahta Hai,2001,792
Dil Chahta Hai,2001,793
Dil Chahta Hai,2001,794
Kill Bill: Vol. 1,2003,23
Kill Bill: Vol. 1,2003,795
Kill Bill: Vol. 1,2003,796
Kill Bill: Vol. 1,2003,357
Finding Nemo,2003,797
Finding Nemo,2003,381
Finding Nemo,2003,798
Finding Nemo,2003,799
Catch Me If You Can,2002,30
Catch Me If You Can,2002,39
Catch Me If You Can,2002,800
Catch Me If You Can,2002,252
Amores perros,2000,801
Amores perros,2000,213
Amores perros,2000,802
Amores perros,2000,803
"Monsters, Inc.",2001,804
"Monsters, Inc.",2001,797
"Monsters, Inc.",2001,805
"Monsters, Inc.",2001,806
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,807
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,808
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,809
